family	c	k	pattern	third_anchor	pool_size	buckets_after_anchor	ordering_rows	orbit_rows	labeled_rows
C77partition	10	3	HO	16	6	EHo:3,EAo:3,EBo:3,EOo:4,CHo:5,CHa:1,CAo:7,CBo:7,COo:6,COa:1	30	11858	10006512880
C77partition	10	3	AB	15	7	EHo:3,EAo:3,EBo:3,EOo:4,CHo:6,CAo:6,CAa:1,CBo:6,CBa:1,COo:7	30	12194	10146419140
C77partition	10	4	HO	16	5	EHo:4,EAo:2,EBo:2,EOo:5,CHo:4,CHa:1,CAo:8,CBo:8,COo:5,COa:1	30	8232	10116029672
C77partition	10	4	AB	15	6	EHo:4,EAo:2,EBo:2,EOo:5,CHo:5,CAo:7,CAa:1,CBo:7,CBa:1,COo:6	30	9388	10251000760
C77partition	10	5	HO	16	4	EHo:5,EAo:1,EBo:1,EOo:6,CHo:3,CHa:1,CAo:9,CBo:9,COo:4,COa:1	30	3600	10256268792
C77partition	10	5	AB	15	5	EHo:5,EAo:1,EBo:1,EOo:6,CHo:4,CAo:8,CAa:1,CBo:8,CBa:1,COo:5	30	4580	10389038800
C77partition	10	6	HO	16	3	EHo:6,EOo:7,CHo:2,CHa:1,CAo:10,CBo:10,COo:3,COa:1	32	706	10434972954
C77partition	10	6	AB	15	4	EHo:6,EOo:7,CHo:3,CAo:9,CAa:1,CBo:9,CBa:1,COo:4	32	1026	10568896996
C77partition	11	0	HO	16	10	EAo:6,EBo:6,EOo:1,CHo:9,CHa:1,CAo:3,CBo:3,COo:10,COa:1	31	1219	7136965836
C77partition	11	0	AB	15	11	EAo:6,EBo:6,EOo:1,CHo:10,CAo:2,CAa:1,CBo:2,CBa:1,COo:11	31	696	7162155000
C77partition	11	1	HO	16	9	EHo:1,EAo:5,EBo:5,EOo:2,CHo:8,CHa:1,CAo:4,CBo:4,COo:9,COa:1	30	4300	7286499220
C77partition	11	1	AB	15	10	EHo:1,EAo:5,EBo:5,EOo:2,CHo:9,CAo:3,CAa:1,CBo:3,CBa:1,COo:10	30	2922	7343884548
C77partition	11	2	HO	16	8	EHo:2,EAo:4,EBo:4,EOo:3,CHo:7,CHa:1,CAo:5,CBo:5,COo:8,COa:1	30	8036	7390811428
C77partition	11	2	AB	15	9	EHo:2,EAo:4,EBo:4,EOo:3,CHo:8,CAo:4,CAa:1,CBo:4,CBa:1,COo:9	30	6400	7463115660
C77partition	11	3	HO	16	7	EHo:3,EAo:3,EBo:3,EOo:4,CHo:6,CHa:1,CAo:6,CBo:6,COo:7,COa:1	30	9560	7477959892
C77partition	11	3	AB	15	8	EHo:3,EAo:3,EBo:3,EOo:4,CHo:7,CAo:5,CAa:1,CBo:5,CBa:1,COo:8	30	8652	7557923464
C77partition	11	4	HO	16	6	EHo:4,EAo:2,EBo:2,EOo:5,CHo:5,CHa:1,CAo:7,CBo:7,COo:6,COa:1	30	7301	7560263984
C77partition	11	4	AB	15	7	EHo:4,EAo:2,EBo:2,EOo:5,CHo:6,CAo:6,CAa:1,CBo:6,CBa:1,COo:7	30	7478	7644277888
C77partition	11	5	HO	16	5	EHo:5,EAo:1,EBo:1,EOo:6,CHo:4,CHa:1,CAo:8,CBo:8,COo:5,COa:1	30	3568	7642677392
C77partition	11	5	AB	15	6	EHo:5,EAo:1,EBo:1,EOo:6,CHo:5,CAo:7,CAa:1,CBo:7,CBa:1,COo:6	30	3976	7730016840
C77partition	11	6	HO	16	4	EHo:6,EOo:7,CHo:3,CHa:1,CAo:9,CBo:9,COo:4,COa:1	32	817	7724017084
