q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
37	15	0	0fdfbf	0fdfff	93bc142b36614ae61ccca	e96ce116363e92633c418
37	15	1	0fdfbf	0fdfff	3943132936611ae1bcbca	ec6ce1664366321c6c6c8
37	15	2	0fdfbf	0fdfff	c3911b2eb163e836146e8	ece13149693960ec1c36a
37	15	3	0fdfbf	0fdfff	6e3c645316e46dbb3e6c0	369339646c394d36933ed
37	15	4	0fdfbf	0fdfff	6cbc96d31643bd4e63362	cc941963946e603336b3a
37	15	5	0fdfbf	0fdfff	61639451e3b630e1cbbe2	1c4e1c93e96942336ec68
37	16	0	0fffff	0dbeff	99663ce4bbb3e4411ee10	396931132319c973e5be2
37	16	1	0fffff	0dbeff	e646e3116e4c4113ebb9f	13b93163f63e64d31d698
37	16	2	0fffff	0dbeff	63be961e39c46c1e39360	e69bb3418e11135318eed
37	16	3	0fffff	0dbeff	e933666c3163e14bb44ed	e633136406e19c76c8c6a
37	16	4	0fffff	0dbeff	39c36e4e669163331bcb5	c6b396b37e4141733a91d
37	16	5	0fffff	0dbeff	e9133911646b3e1e36b4f	6b441e6386ceccd31d16a
37	17	0	0fffff	0dbfdf	99eb643b16e3e436c91c0	14e9e2636b6493d31f1c2
37	17	1	0fffff	0dbfdf	e6b34116e11e4e9c36cb7	6cee953461b33c5632e4d
37	17	2	0fffff	0dbfdf	4b19936eb3e3416cee610	ee343fe941416ed94d36d
37	17	3	0fffff	0dbfdf	9661e33c9634636ceb1c7	1119bfe463911173ba3b7
37	17	4	0fffff	0dbfdf	c6b16e33e43e696434ec5	33619f669cc91b24473e7
37	17	5	0fffff	0dbfdf	e6b461963431361ee1cbf	149eb23461b64cd6c0eed
